Tên công việc,Địa điểm,Ngày cập nhật,Ngành nghề,Hình thức,Lương,Kinh nghiệm,Cấp bậc,Hết hạn nộp,Tên công ty,Địa chỉ công ty,Người liên hệ,Loại hình hoạt động,Qui mô công ty
Giám sát MEP,"['Bình Dương', 'Lâm Đồng', 'Bình Thuận']",28/11/2024,Xây dựng,Nhân viên chính thức,Cạnh tranh,1 - 3 Năm,Trưởng nhóm / Giám sát,27/12/2024,DECOFI - CÔNG TY CP XÂY DỰNG & THIẾT KẾ SỐ 1,"28 Mạc Đỉnh Chi, Q.1",Ms. Quỳnh Như,Cổ phần,
Binh Duong - Academic Coach (Cố vấn học tập),['Bình Dương'],25/11/2024,"Giáo dục / Đào tạo , Biên phiên dịch , Dịch vụ khách hàng",Bán thời gian,Cạnh tranh,1 - 2 Năm,Nhân viên,24/12/2024,WALL STREET ENGLISH,"21 Lê Qúy Đôn, Q. 3",Wall Street English,Trách nhiệm hữu hạn,100-499
"Nhân Viên Chăm Sóc Khách Hàng - Cầu Giấy, Hà Nội Xem trước Nhân Viên Chăm Sóc Khách Hàng - Cầu Giấy, Hà Nội",['Hà Nội'],24/11/2024,"Dịch vụ khách hàng , Hành chính / Thư ký , Quảng cáo / Đối ngoại / Truyền Thông",Nhân viên chính thức,8 Tr - 10 Tr VND,Trên 1 Năm,Nhân viên,23/12/2024,CÔNG TY CỔ PHẦN ĐẦU TƯ THƯƠNG MẠI QUỐC TẾ MẶT TRỜI ĐỎ,"Tầng 25 tòa nhà Handico, Số 3 Mễ Trì Hạ, Nam Từ Liêm, Hà Nội",Phòng nhân sự,Cổ phần,
Giám Sát Bán Hàng Kênh GT (FMCG-Ngành nước),"['Bình Phước', 'Thanh Hóa']",24/11/2024,"Bán hàng / Kinh doanh , Hàng gia dụng / Chăm sóc cá nhân , Thực phẩm & Đồ uống",Nhân viên chính thức,Cạnh tranh,3 - 5 Năm,Trưởng nhóm / Giám sát,23/12/2024,CÔNG TY TNHH TAISHO VIỆT NAM,"Phu Nu Building, 20 Nguyen Dang Giai Street, Thao Dien Ward, Thu Duc City",Bộ Phận Tuyển Dụng,100% vốn nước ngoài,500-999
"Chuyên Viên QA Nhà Máy Thực Phẩm - Cầu Diễn, Hà Nội",['Hà Nội'],23/11/2024,"Quản lý chất lượng (QA/QC) , Thực phẩm & Đồ uống",Nhân viên chính thức,12 Tr - 14 Tr VND,Trên 2 Năm,Nhân viên,22/12/2024,CÔNG TY CỔ PHẦN ĐẦU TƯ THƯƠNG MẠI QUỐC TẾ MẶT TRỜI ĐỎ,"Tầng 25 tòa nhà Handico, Số 3 Mễ Trì Hạ, Nam Từ Liêm, Hà Nội",Phòng nhân sự,Cổ phần,
Production Equipment Senior Staff Engineer,['Bình Dương'],22/11/2024,"Cơ khí / Ô tô / Tự động hóa , Điện / Điện tử / Điện lạnh",Nhân viên chính thức,Cạnh tranh,Lên đến 1 Năm,Nhân viên,21/12/2024,,,,,
"Nhân Viên Quảng Cáo (Nhơn Trạch, Đồng Nai)",['Đồng Nai'],21/11/2024,"Tiếp thị / Marketing , Quảng cáo / Đối ngoại / Truyền Thông , Truyền hình / Báo chí / Biên tập",Nhân viên chính thức,Cạnh tranh,1 - 3 Năm,Nhân viên,20/12/2024,CÔNG TY VMEP - SYM,"Lô số 4, đường 5C KCN Nhơn Trạch 2, Hiệp Phước, Nhơn Trạch, Đồng Nai",Phòng Nhân Sự,100% vốn nước ngoài,
English Teacher (Binh Duong),['Bình Dương'],21/11/2024,"Dịch vụ khách hàng , Giáo dục / Đào tạo , Biên phiên dịch",Bán thời gian,Cạnh tranh,1 - 3 Năm,Nhân viên,20/12/2024,WALL STREET ENGLISH,"21 Lê Qúy Đôn, Q. 3",Wall Street English,Trách nhiệm hữu hạn,100-499
CHUYÊN VIÊN BÁN HÀNG DÂY VÀ CÁP,['Đồng Nai'],20/11/2024,"Bán lẻ / Bán sỉ , Bán hàng / Kinh doanh , Tiếp thị trực tuyến",Nhân viên chính thức,10 Tr - 15 Tr VND,2 - 4 Năm,Trưởng nhóm / Giám sát,19/12/2024,CÔNG TY CỔ PHẦN DÂY VÀ CÁP SACOM,"Đường số 4, KCN Long Thành, Xã Tam An, Huyện Long Thành",Ms. Mai,Cổ phần,350
[Nhà hàng King BBQ Vincom Kiên Giang] - Tổ trưởng nhà hàng,['Kiên Giang'],18/11/2024,Nhà hàng / Khách sạn,Nhân viên chính thức,"6,2 Tr - 7 Tr VND",1 - 2 Năm,Trưởng nhóm / Giám sát,17/12/2024,CÔNG TY CỔ PHẦN ĐẦU TƯ THƯƠNG MẠI QUỐC TẾ MẶT TRỜI ĐỎ,"Tầng 25 tòa nhà Handico, Số 3 Mễ Trì Hạ, Nam Từ Liêm, Hà Nội",Phòng nhân sự,Cổ phần,
English Teacher ( Vietnamese),['Bình Dương'],17/11/2024,"Dịch vụ khách hàng , Giáo dục / Đào tạo , Biên phiên dịch",Bán thời gian,Cạnh tranh,1 - 3 Năm,Nhân viên,16/12/2024,WALL STREET ENGLISH,"21 Lê Qúy Đôn, Q. 3",Wall Street English,Trách nhiệm hữu hạn,100-499
THỢ SỬA CHỮA Ô TÔ,['Bà Rịa - Vũng Tàu'],16/11/2024,"Cơ khí / Ô tô / Tự động hóa , Bảo trì / Sửa chữa",Nhân viên chính thức,Cạnh tranh,,Mới tốt nghiệp,15/12/2024,CÔNG TY TNHH BACONCO,Bà Rịa Vũng tàu,Ms Vy,100% vốn nước ngoài,hơn 500 người
Electrical Engineer,['Bà Rịa - Vũng Tàu'],16/11/2024,"Cơ khí / Ô tô / Tự động hóa , Điện / Điện tử / Điện lạnh , Bảo trì / Sửa chữa",Nhân viên chính thức,Cạnh tranh,2 - 5 Năm,Nhân viên,15/12/2024,CÔNG TY TNHH BACONCO,Bà Rịa Vũng tàu,Ms Vy,100% vốn nước ngoài,hơn 500 người
HSE STAFF,['Bà Rịa - Vũng Tàu'],16/11/2024,"An Ninh / Bảo Vệ , An toàn lao động , Sản xuất / Vận hành sản xuất",Nhân viên chính thức,Cạnh tranh,2 - 5 Năm,Nhân viên,15/12/2024,CÔNG TY TNHH BACONCO,Bà Rịa Vũng tàu,Ms Vy,100% vốn nước ngoài,hơn 500 người
English Mentor,['Bình Dương'],15/11/2024,"Dịch vụ khách hàng , Giáo dục / Đào tạo , Biên phiên dịch",Bán thời gian,Cạnh tranh,1 - 3 Năm,Nhân viên,14/12/2024,WALL STREET ENGLISH,"21 Lê Qúy Đôn, Q. 3",Wall Street English,Trách nhiệm hữu hạn,100-499
Technology Deputy Manager (Japanese Language),['Bình Dương'],15/11/2024,"Điện / Điện tử / Điện lạnh , Bảo trì / Sửa chữa , Sản xuất / Vận hành sản xuất",Nhân viên chính thức,Cạnh tranh,Trên 3 Năm,Trưởng nhóm / Giám sát,14/12/2024,CÔNG TY OMRON HEALTHCARE MANUFACTURING VIỆT NAM,"Vietnam-Singapore Industrial Park II, Hoa Phu Ward, TDM City, Binh Duong",Phòng Nhân Sự,100% vốn nước ngoài,1.000-4.999
NHÂN VIÊN DỰ TOÁN CÔNG TRÌNH (THIẾT BỊ ĐIỆN),['Long An'],15/11/2024,"Biên phiên dịch , Cơ khí / Ô tô / Tự động hóa , Mỹ thuật / Nghệ thuật / Thiết kế",Nhân viên chính thức,7 Tr - 9 Tr VND,,Nhân viên,14/12/2024,,,,,
[Nhà hàng Thái Express Aeon Bình Dương] - Giám Sát Nhà Hàng,['Bình Dương'],14/11/2024,Nhà hàng / Khách sạn,Nhân viên chính thức,"7,5 Tr - 8 Tr VND",1 - 2 Năm,Trưởng nhóm / Giám sát,13/12/2024,CÔNG TY CỔ PHẦN ĐẦU TƯ THƯƠNG MẠI QUỐC TẾ MẶT TRỜI ĐỎ,"Tầng 25 tòa nhà Handico, Số 3 Mễ Trì Hạ, Nam Từ Liêm, Hà Nội",Phòng nhân sự,Cổ phần,
MARKETING EXECUTIVE,['Bình Dương'],14/11/2024,"Tiếp thị / Marketing , Quảng cáo / Đối ngoại / Truyền Thông",Nhân viên chính thức,Cạnh tranh,1 - 2 Năm,Nhân viên,13/12/2024,CÔNG TY TNHH SÂN GOLF PALM SÔNG BÉ,"77 Đại Lộ Bình Dương , Lái Thiêu",Ms Lê Thị Yến Tâm,Trách nhiệm hữu hạn,500-999
Nhân Viên Kinh Doanh B2B - Ngành F&b (Hà Nội),['Hà Nội'],14/11/2024,"Bán hàng / Kinh doanh , Bán lẻ / Bán sỉ , Thực phẩm & Đồ uống",Nhân viên chính thức,10 Tr - 15 Tr VND,Trên 2 Năm,Nhân viên,13/12/2024,CÔNG TY CỔ PHẦN ĐẦU TƯ THƯƠNG MẠI QUỐC TẾ MẶT TRỜI ĐỎ,"Tầng 25 tòa nhà Handico, Số 3 Mễ Trì Hạ, Nam Từ Liêm, Hà Nội",Phòng nhân sự,Cổ phần,
Trưởng quầy Bánh mì,['Hà Nam'],12/11/2024,"Bán lẻ / Bán sỉ , Nhà hàng / Khách sạn , Ngành khác",Nhân viên chính thức,Cạnh tranh,1 - 2 Năm,Trưởng nhóm / Giám sát,11/12/2024,FOOD RETAIL,"163 Phan Đăng Lưu, Phường 01, Phú Nhuận, Tp HCM",Food Retail Recruitment,100% vốn nước ngoài,5.000-9.999
Chuyên viên Thiết kế nội thất,['Hà Nội'],11/11/2024,"Mỹ thuật / Nghệ thuật / Thiết kế , Kiến trúc , Xây dựng",Nhân viên chính thức,18 Tr - 20 Tr VND,2 - 3 Năm,Nhân viên,10/12/2024,CÔNG TY TNHH XNK LIÊN THÁI BÌNH DƯƠNG,"Tầng 1, Tòa nhà Opera View, 161 Đồng Khởi, F. Bến Nghé, Q.1, Tp.HCM",IPPGRecruitment,Trách nhiệm hữu hạn,
Compliance Senior Staff,['Bình Dương'],10/11/2024,"Y tế / Chăm sóc sức khỏe , Luật / Pháp lý , Sản xuất / Vận hành sản xuất",Nhân viên chính thức,Cạnh tranh,2 - 3 Năm,Nhân viên,09/12/2024,CÔNG TY OMRON HEALTHCARE MANUFACTURING VIỆT NAM,"Vietnam-Singapore Industrial Park II, Hoa Phu Ward, TDM City, Binh Duong",Phòng Nhân Sự,100% vốn nước ngoài,1.000-4.999
NHÂN VIÊN TIẾP THỊ,['Bình Dương'],09/11/2024,"Tiếp thị / Marketing , Quảng cáo / Đối ngoại / Truyền Thông",Nhân viên chính thức,Cạnh tranh,1 - 2 Năm,Nhân viên,08/12/2024,CÔNG TY TNHH SÂN GOLF PALM SÔNG BÉ,"77 Đại Lộ Bình Dương , Lái Thiêu",Ms Lê Thị Yến Tâm,Trách nhiệm hữu hạn,500-999
Quản lý Showroom (Hà Nội),['Hà Nội'],02/12/2024,"Bán hàng / Kinh doanh , Dịch vụ khách hàng , Nội ngoại thất",Nhân viên chính thức,20 Tr - 30 Tr VND,2 - 3 Năm,Quản lý,31/12/2024,CÔNG TY CỔ PHẦN GỖ AN CƯỜNG,"702/1K Sư Vạn Hạnh, P.12, Q.10, TP.HCM",Bộ phận Tuyển dụng,Cổ phần,
Nhân Viên R&D Paint,['Đồng Nai'],02/12/2024,Hóa học,Nhân viên chính thức,Cạnh tranh,,Nhân viên,31/12/2024,CÔNG TY TNHH KCC VIỆT NAM,"Đường số 1, Khu Công nghiệp Long Thành, Xã Tam An, Huyện Long Thành, Đồng Nai",Mr Dương Kim Ngọc Sơn,Trách nhiệm hữu hạn,100-499
Kỹ thuật chuyên ngành Cơ khí và Xây dựng,['Hà Nội'],27/11/2024,"Cơ khí / Ô tô / Tự động hóa , CNTT - Phần mềm , Xây dựng",Nhân viên chính thức,9 Tr - 15 Tr VND,2 - 3 Năm,Nhân viên,26/12/2024,CÔNG TY TNHH TƯ VẤN KỸ THUẬT VÀ TIN HỌC THƯƠNG MẠI VIET C.A.D,"K2.26, 223 Hoàng Văn Thụ, phường 8, Quận Phú Nhuận, TP. HCM",Ms.Trang,Trách nhiệm hữu hạn,25-99
Brand Manager - Cầu Giấy (Ngành F&B),['Hà Nội'],20/11/2024,"Dịch vụ khách hàng , Nhà hàng / Khách sạn , Quảng cáo / Đối ngoại / Truyền Thông",Nhân viên chính thức,Cạnh tranh,3 - 10 Năm,Quản lý,19/12/2024,CÔNG TY CỔ PHẦN ĐẦU TƯ THƯƠNG MẠI QUỐC TẾ MẶT TRỜI ĐỎ,"Tầng 25 tòa nhà Handico, Số 3 Mễ Trì Hạ, Nam Từ Liêm, Hà Nội",Phòng nhân sự,Cổ phần,
Nhân Viên Kế Toán (Hà Nội),['Hà Nội'],17/11/2024,Kế toán / Kiểm toán,Nhân viên chính thức,8 Tr - 10 Tr VND,,Nhân viên,16/12/2024,CÔNG TY VMEP - SYM,"Lô số 4, đường 5C KCN Nhơn Trạch 2, Hiệp Phước, Nhơn Trạch, Đồng Nai",Phòng Nhân Sự,100% vốn nước ngoài,
chuyên viên kinh doanh thuốc BVTV,['Lâm Đồng'],17/11/2024,"Tiếp thị / Marketing , Bán lẻ / Bán sỉ , Nông nghiệp",Nhân viên chính thức,Trên 13 Tr VND,Trên 2 Năm,Nhân viên,16/12/2024,CÔNG TY TNHH MAP PACIFIC SINGAPORE,"101/6 Đường 3, KCN Amata, TP. Biên Hòa, Tỉnh Đồng Nai",Ngọc Hạnh,100% vốn nước ngoài,200
Electrical Senior Staff Engineer,['Bình Dương'],16/11/2024,"Cơ khí / Ô tô / Tự động hóa , Điện / Điện tử / Điện lạnh",Nhân viên chính thức,Cạnh tranh,1 - 5 Năm,Nhân viên,15/12/2024,CÔNG TY OMRON HEALTHCARE MANUFACTURING VIỆT NAM,"Vietnam-Singapore Industrial Park II, Hoa Phu Ward, TDM City, Binh Duong",Phòng Nhân Sự,100% vốn nước ngoài,1.000-4.999
