Tên công việc,Địa điểm,Tên công ty,Địa chỉ công ty,Người liên hệ,Qui mô công ty,Loại hình hoạt động,Ngày cập nhật,Ngành nghề,Hình thức,Lương,Kinh nghiệm,Cấp bậc,Hết hạn nộp
Giao Dịch Viên Tài Chính Tại PNJ Bến Cát,['Bình Dương'],CÔNG TY CỔ PHẦN NGƯỜI BẠN VÀNG,"Tầng 1, Vincom Plaza Cộng Hoà, 15-17 Cộng Hòa, Phường 4, Quận Tân Bình.",Phòng Nhân sự,100-499,Cổ phần,29/11/2024,"Bán hàng / Kinh doanh , Tư vấn , Dịch vụ khách hàng",Nhân viên chính thức,9 Tr - 20 Tr VND,Lên đến 1 Năm,Nhân viên,08/12/2024
Chuyên viên chính/Chuyên viên cao cấp Thẩm định tài sản,"['Bình Phước', 'Bình Dương', 'Tây Ninh']",NGÂN HÀNG TMCP SÀI GÒN - HÀ NỘI ( SHB ),77 Trần Hưng Đạo - Hoàn Kiếm - Hà Nội,Trung tâm Dịch vụ Nhân sự,5.000-9.999,Cổ phần,29/11/2024,"Bất động sản , Bán lẻ / Bán sỉ , Ngân hàng",Nhân viên chính thức,Cạnh tranh,Trên 2 Năm,Nhân viên,07/12/2024
"Nhân Viên Phát Triển Thị Trường Khu Vực Dĩ An, Thuận An, Thủ Dầu Một",['Bình Dương'],CÔNG TY CỔ PHẦN CÔNG NGHỆ SEN ĐỎ,"Tầng 2, Tòa nhà FPT Tân Thuận. 29B-31B-33B đường Tân Thuận, KCX Tân Thuận",Tuyển dụng Sen Đỏ,,Cổ phần,29/11/2024,"Tiếp thị / Marketing , Bán hàng / Kinh doanh , Tiếp thị trực tuyến",Nhân viên chính thức,10 Tr - 15 Tr VND,,Nhân viên,30/11/2024
Nhân Viên Tuyển Dụng,['Bình Dương'],CÔNG TY TNHH ĐẦU TƯ PHÁT TRIỂN HƯNG THỊNH PHÚ GROUP,"Q11-02, KP thương mại Uni - Town, Đ. Lê Hoàn, khu 2, P. Hoà Phú, TP.TDM, BD",Ngô Gia Như,500-999,Trách nhiệm hữu hạn,29/11/2024,"Nhân sự , Truyền hình / Báo chí / Biên tập , Bán hàng / Kinh doanh",Nhân viên chính thức,8 Tr - 15 Tr VND,,Nhân viên,07/12/2024
Giao Dịch Viên Tài Chính Tại PNJ Tân Uyên,['Bình Dương'],CÔNG TY CỔ PHẦN NGƯỜI BẠN VÀNG,"Tầng 1, Vincom Plaza Cộng Hoà, 15-17 Cộng Hòa, Phường 4, Quận Tân Bình.",Phòng Nhân sự,100-499,Cổ phần,29/11/2024,"Bán hàng / Kinh doanh , Tư vấn , Dịch vụ khách hàng",Nhân viên chính thức,9 Tr - 20 Tr VND,Lên đến 1 Năm,Nhân viên,08/12/2024
NETWORK ENGINEER - KỸ SƯ MẠNG (KHÔNG YÊU CẦU KINH NGHIỆM),[],,,,,,,,,,,,
Business Development Assistant,['Hồ Chí Minh'],VANTAGE LOGISTICS CORPORATION,"06.01, Tower A, Rivergate Residence, 151-155 Ben Van Don, District 4, Ho Chi Minh City, Viet Nam",HR Department,100-499,Cổ phần,10/12/2024,"Vận chuyển / Giao nhận / Kho vận , Xuất nhập khẩu",Nhân viên chính thức,Cạnh tranh,1 - 5 Năm,Nhân viên,09/01/2025
Trade Marketing Assistant Manager ( MT Channel),['Hồ Chí Minh'],CÔNG TY CỔ PHẦN IPP GROUP,"299/12 Lý Thường Kiệt, Phường 15, Quận 11, Tp. Hồ Chí Minh",Mr. Trí,25-99,Cổ phần,09/12/2024,"Tiếp thị / Marketing , Bán hàng / Kinh doanh , Quảng cáo / Đối ngoại / Truyền Thông",Nhân viên chính thức,Cạnh tranh,1 - 3 Năm,Nhân viên,09/01/2025
PRODUCTION CONTROL PLANNER/MATERIAL CONTROL PLANNER/SUPERVISOR,[],,,,,,,,,,,,
CHUYÊN VIÊN TƯ VẤN ĐẦU TƯ KHÁCH HÀNG CÁ NHÂN (HCM),['Hồ Chí Minh'],VDSC - CÔNG TY CP CHỨNG KHOÁN RỒNG VIỆT,"Lầu 4, Tòa nhà Viet Dragon, 141 Nguyễn Du, P. Bến Thành, Q. 1, TP. HCM",Công ty Cổ phần Chứng khoán Rồng Việt,500-999,Cổ phần,09/12/2024,"Ngân hàng , Chứng khoán , Tài chính / Đầu tư",Nhân viên chính thức,7 Tr - 20 Tr VND,1 - 2 Năm,Nhân viên,31/01/2025
Nhân Viên Tư Vấn Bán Hàng Trang Sức,['Hồ Chí Minh'],CÔNG TY TNHH LYNH PREMIUM,"254B Nguyễn Đình Chiểu, Phường Võ Thị Sáu, Quận 3, Thành phố Hồ Chí Minh, Việt Nam",HR,25-99,Trách nhiệm hữu hạn,09/12/2024,Bán hàng / Kinh doanh,Nhân viên chính thức,Cạnh tranh,,Nhân viên,09/01/2025
Import - Export Specialist (1-year contract),['Hồ Chí Minh'],"UN-AVAILABLE LTD CO.,","Một phần lô I/3 Đường Số 7, Phường Bình Hưng Hòa, Quận Bình Tân",Ms. Lê Tư,500-999,100% vốn nước ngoài,09/12/2024,"Vận chuyển / Giao nhận / Kho vận , Xuất nhập khẩu , Sản xuất / Vận hành sản xuất",Nhân viên chính thức,Cạnh tranh,1 - 4 Năm,Nhân viên,31/01/2025
CHUYÊN VIÊN PHÂN TÍCH NGÀNH,['Hồ Chí Minh'],VDSC - CÔNG TY CP CHỨNG KHOÁN RỒNG VIỆT,"Lầu 4, Tòa nhà Viet Dragon, 141 Nguyễn Du, P. Bến Thành, Q. 1, TP. HCM",Công ty Cổ phần Chứng khoán Rồng Việt,500-999,Cổ phần,09/12/2024,"Chứng khoán , Tài chính / Đầu tư , Dầu khí",Nhân viên chính thức,15 Tr - 30 Tr VND,2 - 3 Năm,Nhân viên,15/01/2025
Nhân viên kế toán tổng hợp,[],,,,,,,,,,,,
CHUYÊN VIÊN PHÂN TÍCH CHIẾN LƯỢC ĐẦU TƯ,['Hồ Chí Minh'],VDSC - CÔNG TY CP CHỨNG KHOÁN RỒNG VIỆT,"Lầu 4, Tòa nhà Viet Dragon, 141 Nguyễn Du, P. Bến Thành, Q. 1, TP. HCM",Công ty Cổ phần Chứng khoán Rồng Việt,500-999,Cổ phần,09/12/2024,"Ngân hàng , Chứng khoán , Tài chính / Đầu tư",Nhân viên chính thức,Cạnh tranh,1 - 3 Năm,Nhân viên,08/01/2025
HCM - Chuyên Viên Cao Cấp Khách Hàng Cá Nhân – SRBO,['Hồ Chí Minh'],NGÂN HÀNG TMCP KỸ THƯƠNG VIỆT NAM (TECHCOMBANK),"HO Miền Bắc: Số 6 Quang Trung, phường Trần Hưng Đạo, Quận Hoàn Kiếm, Thành phố Hà Nội HO Miền Nam: Số 23 Lê Duẩn, phường Bến Nghé, Quận 1, Thành phố Hồ Chí Minh",Khối Quản Trị Nguồn Nhân Lực,10.000-19.999,Cổ phần,09/12/2024,"Bán hàng / Kinh doanh , Ngân hàng , Tài chính / Đầu tư",Nhân viên chính thức,Cạnh tranh,1 - 2 Năm,Nhân viên,09/01/2025
Nhân viên giám sát thi công,"['Hồ Chí Minh', 'Đồng Nai']",CÔNG TY CỔ PHẦN EUROWINDOW,"Số 02 Tôn Thất Tùng, P. Trung Tự, Q. Đống Đa, Hà Nội",Hồ Ngọc Nữ,3000,Cổ phần,09/12/2024,"Cơ khí / Ô tô / Tự động hóa , Nội ngoại thất , Xây dựng",Nhân viên chính thức,11 Tr - 13 Tr VND,1 - 3 Năm,Nhân viên,31/12/2024
CEO,['Hồ Chí Minh'],CÔNG TY TNHH DỊCH VỤ TL,"32 Mạc Đĩnh Chi và 106A Nguyễn Đình Chiểu, Phường Đa Kao, Quận 1",HR Dept.,100-499,Trách nhiệm hữu hạn,09/12/2024,"Thực phẩm & Đồ uống , Quản lý điều hành , Nhà hàng / Khách sạn",Nhân viên chính thức,Cạnh tranh,Trên 5 Năm,Giám đốc,12/01/2025
Chuyên viên kinh doanh,['Hồ Chí Minh'],CÔNG TY CP TẬP ĐOÀN ĐẦU TƯ HOÀNG GIA VIỆT NAM,"600 Điện Biên Phủ, Phường 22, Quận Bình Thạnh",Ms. Thuong,500-999,Trách nhiệm hữu hạn,05/12/2024,Giáo dục / Đào tạo,Nhân viên chính thức,Cạnh tranh,Trên 3 Năm,Nhân viên,15/01/2025
Nhân viên kinh doanh (Tiếng Trung HSK5),['Hồ Chí Minh'],CÔNG TY TNHH Ô TÔ NĂNG LƯỢNG MỚI HARMONY VIỆT NAM,"619 Huỳnh Tấn Phát, phường Tân Thuận Đông, Q7",Phòng Nhân sự Harmony Việt Nam,25-99,Trách nhiệm hữu hạn,30/11/2024,"Bán hàng / Kinh doanh , Biên phiên dịch , Cơ khí / Ô tô / Tự động hóa",Nhân viên chính thức,10 Tr - 15 Tr VND,,Mới tốt nghiệp,31/12/2024
111379 - Chinese Speaking - Sales Staff - Nhân viên kinh doanh - Chemicals,['Hồ Chí Minh'],"RGF HR AGENT VIETNAM CO., LTD","Centec Tower, 72-74 Nguyen Thi Minh Khai, Ward 6, Dist. 3, HCMC, Vietnam",HR Dept,,Trách nhiệm hữu hạn,24/11/2024,Hóa học,Nhân viên chính thức,15 Tr - 30 Tr VND,Trên 2 Năm,Nhân viên,23/12/2024
