Tên công việc,Địa điểm,Ngày cập nhật,Ngành nghề,Hình thức,Lương,Kinh nghiệm,Cấp bậc,Hết hạn nộp,Tên công ty,Địa chỉ công ty,Người liên hệ,Qui mô công ty,Loại hình hoạt động
Cộng tác viên GIS,['Hồ Chí Minh'],05/12/2024,Ngành khác,Thời vụ/ Nghề tự do,4 Tr - 6 Tr VND,1 - 3 Năm,Nhân viên,03/01/2025,VIETMAP - CÔNG TY CỔ PHẦN ỨNG DỤNG BẢN ĐỒ VIỆT,"03 Trần Nhân Tôn, P9, Q5, TP.HCM",HR Dept,100-499,Cổ phần
Trưởng nhóm Trade MKT,['Hồ Chí Minh'],05/12/2024,"Tiếp thị / Marketing , Tiếp thị trực tuyến , Thực phẩm & Đồ uống",Nhân viên chính thức,Cạnh tranh,2 - 3 Năm,Trưởng nhóm / Giám sát,03/01/2025,CÔNG TY CỔ PHẦN LAVELA,"31 đường số 7, khu phố 5, phường An Phú, TP Thủ Đức",HR Dept,100-499,Cổ phần
Đồng hồ Garmin tuyển Chuyên viên Đào tạo,['Hồ Chí Minh'],05/12/2024,"Bán lẻ / Bán sỉ , Bán hàng / Kinh doanh , Giáo dục / Đào tạo",Nhân viên chính thức,15 Tr - 17 Tr VND,1 - 5 Năm,Nhân viên,03/01/2025,CÔNG TY CỔ PHẦN GREEN SPEED,"17 đường Đào Duy Từ, Khu phố Đông A, Phường Đông Hòa, Thành phố Dĩ An, Tỉnh Bình Dương, Việt Nam",Ms Thương,500-999,
CUSTOMER SUCCESS MANAGEMENT MANAGER,['Hồ Chí Minh'],03/12/2024,"Bán hàng / Kinh doanh , Tiếp thị trực tuyến",Nhân viên chính thức,Cạnh tranh,2 - 3 Năm,Trưởng nhóm / Giám sát,01/01/2025,NINJA VAN VIỆT NAM,"307/21 Nguyễn Văn Trỗi, Phường 1, Quận Tân Bình , TP. HCM",HR Department,1.000-4.999,100% vốn nước ngoài
Nhân Viên Thiết Kế Sản Phẩm,['Hồ Chí Minh'],05/12/2024,"Mỹ thuật / Nghệ thuật / Thiết kế , In ấn / Xuất bản , Kiến trúc",Nhân viên chính thức,9 Tr - 18 Tr VND,Trên 1 Năm,Nhân viên,03/01/2025,CÔNG TY TNHH PAPER ART VIỆT,"103/45 Trần Huy Liệu, Phường 12, Quận Phú Nhuận, Tp.HCM",Ms Nhàn,,Trách nhiệm hữu hạn
QC/ Tester (Kinh nghiệm Manual lẫn Auto),['Hồ Chí Minh'],02/12/2024,"CNTT - Phần mềm , CNTT - Phần cứng / Mạng , Quản lý chất lượng (QA/QC)",Nhân viên chính thức,Cạnh tranh,2 - 4 Năm,Nhân viên,31/12/2024,CÔNG TY TNHH CÔNG NGHỆ THỂ THAO OOKK,"Tầng 5, Tòa nhà Victory Tower, Số 12 Tân Trào, Phường Tân Phú, Quận 7, Thành phố Hồ Chí Minh, Việt Nam",HR,10-20,Trách nhiệm hữu hạn
BẢO VỆ LÁI XE,"['Hồ Chí Minh', 'Hà Nội']",30/11/2024,"Dịch vụ khách hàng , An Ninh / Bảo Vệ , Nhà hàng / Khách sạn",Nhân viên chính thức,"9,1 Tr - 16,6 Tr VND",,Nhân viên,29/12/2024,CÔNG TY CỔ PHẦN A25 HOTEL,"Số 98 Sơn Tây, Kim Mã, Ba Đình, Hà Nội",HR Dept,1.000-4.999,Cổ phần
"Nhân Viên Tư Vấn Tuyển Sinh/Sales/Kinh Doanh - Khu Vực Quận 1, Bình Thạnh, Phú Nhuận",['Hồ Chí Minh'],01/12/2024,"Bán hàng / Kinh doanh , Tư vấn , Dịch vụ khách hàng",Nhân viên chính thức,15 Tr - 30 Tr VND,1 - 2 Năm,Nhân viên,30/12/2024,ILA VIỆT NAM,"The Crest Residence, số 15, đường Trần Bạch Đằng, phường Thủ Thiêm, thành phố Thủ Đức, Thành phố Hồ Chí Minh.",ILA VietNam,100-499,100% vốn nước ngoài
"Giao Dịch viên - Khu vực Hải Phòng, Bắc Ninh","['Hồ Chí Minh', 'Bắc Ninh', 'Hải Phòng']",30/11/2024,Ngân hàng,Nhân viên chính thức,8 Tr - 15 Tr VND,,Nhân viên,29/12/2024,,,,,
Chuyên viên Chăm sóc khách hàng,['Hồ Chí Minh'],28/11/2024,"Bán hàng / Kinh doanh , Dịch vụ khách hàng , Tư vấn",Nhân viên chính thức,Cạnh tranh,1 - 5 Năm,Nhân viên,27/12/2024,CÔNG TY CỔ PHẦN CHỨNG KHOÁN HD,"Lầu 3B và 9, số 58 Nguyễn Đình Chiểu, Phường Đa Kao, Quận 1, Thành phố Hồ Chí Minh, Việt Nam",CHỨNG KHOÁN HD,25-99,Cổ phần
"Operations Officer, KYC (open for freshers)",['Hồ Chí Minh'],29/11/2024,Mới tốt nghiệp / Thực tập,Nhân viên chính thức,9 Tr - 10 Tr VND,,Mới tốt nghiệp,28/12/2024,DIGI-TEXX VIETNAM,"2nd Floor, Anna Building, Quang Trung Software City, Dist. 12",Ms. Huyền,1.000-4.999,Trách nhiệm hữu hạn
Nhân viên Kinh doanh tại văn phòng,"['Hà Nội', 'Hồ Chí Minh']",01/12/2024,"Bán lẻ / Bán sỉ , Bán hàng / Kinh doanh , Dịch vụ khách hàng",Nhân viên chính thức,10 Tr - 16 Tr VND,,Nhân viên,30/12/2024,CÔNG TY CP XUẤT NHẬP KHẨU TKS GROUP,An Khánh - Hoài Đức - HN,Ms Hạnh,25-99,Cổ phần
"Food Service Sales Supervisor (Kênh Nhà hàng, Khách sạn)",['Hồ Chí Minh'],21/11/2024,"Tiếp thị / Marketing , Bán lẻ / Bán sỉ , Bán hàng / Kinh doanh",Nhân viên chính thức,Cạnh tranh,1 - 2 Năm,Trưởng nhóm / Giám sát,20/12/2024,NEW VIET DAIRY - CÔNG TY CP ĐẠI TÂN VIỆT,"145 Tôn Thất Đạm, P. Bến Nghé, Q. 1, TP. HCM",Phòng Nhân Sự,700,Cổ phần
Senior QC (Chuyên viên kiểm thử phần mềm),"['Hồ Chí Minh', 'Hà Nội']",21/11/2024,CNTT - Phần mềm,Nhân viên chính thức,30 Tr - 40 Tr VND,5 - 10 Năm,Nhân viên,20/12/2024,CÔNG TY CỔ PHẦN ONEFIN VIỆT NAM,"Số 1 đường Đ8, Khu Biệt Thự Sài Gòn Pearl – Số 92 Nguyễn Hữu Cảnh, Phường 22, Q. Bình Thạnh, TP. Hồ Chí Minh, Việt Nam",Phòng Nhân sự,25-99,Cổ phần
"Nhân viên Điều phối Sản xuất - Làm việc tại KCN An Hạ, Bình Chánh, TP.HCM",['Hồ Chí Minh'],17/11/2024,"Cơ khí / Ô tô / Tự động hóa , Sản xuất / Vận hành sản xuất , Xây dựng",Nhân viên chính thức,15 Tr - 20 Tr VND,Trên 2 Năm,Nhân viên,16/12/2024,CÔNG TY CỔ PHẦN CƠ KHÍ XÂY DỰNG THƯƠNG MẠI ĐẠI DŨNG,"Lô 38, Khu C, Đường D1, KCN An Hạ, Phạm Văn Hai, Bình Chánh",Tuyển Dụng,1.000-4.999,Cổ phần
Nhân Viên Kinh Doanh Dự Án,"['Hà Nội', 'Hồ Chí Minh']",16/11/2024,"Bán lẻ / Bán sỉ , Bán hàng / Kinh doanh , Điện / Điện tử / Điện lạnh",Nhân viên chính thức,9 Tr - 15 Tr VND,,Nhân viên,15/12/2024,CÔNG TY CỔ PHẦN CÔNG NGHỆP HQC,"Thôn Vực, Xã Di Trạch, Huyện Hoài Đức, Thành phố Hà Nội, Việt Nam",HR,,Cổ phần
TRỢ LÝ CỬA HÀNG,"['Bình Dương', 'Hồ Chí Minh']",02/12/2024,"Bán lẻ / Bán sỉ , Quản lý điều hành , Bán hàng / Kinh doanh",Nhân viên chính thức,Cạnh tranh,Trên 1 Năm,Nhân viên,15/12/2024,CÔNG TY CỔ PHẦN MIA RETAIL,"117 -119 Bạch Đằng, Phường 15, Quận Bình Thạnh",Tuyển dụng,100-499,Cổ phần
Card Operation Control & Support Expert,['Hồ Chí Minh'],16/11/2024,"Ngân hàng , Bảo hiểm , Tài chính / Đầu tư",Nhân viên chính thức,30 Tr - 40 Tr VND,3 - 4 Năm,Nhân viên,15/12/2024,,,,,
Tuyển Nhân viên chăm sóc hàng siêu thị - Gò Vấp- HCM,['Hồ Chí Minh'],17/11/2024,"Bán lẻ / Bán sỉ , Công nghệ thực phẩm / Dinh dưỡng , Bán hàng / Kinh doanh",Nhân viên chính thức,"7,2 Tr - 11 Tr VND",,Nhân viên,16/12/2024,CÔNG TY TNHH TM & XNK NHẤT LÂM,"Lô H18 + H19, Ngõ 68, Trung Kính, Yên Hòa",Phòng Hành chính Nhân sự,,Trách nhiệm hữu hạn
Kế toán tổng hợp làm việc phú hữu quận 9,['Hồ Chí Minh'],17/11/2024,"Hành chính / Thư ký , Kế toán / Kiểm toán , Tài chính / Đầu tư",Nhân viên chính thức,15 Tr - 20 Tr VND,Trên 3 Năm,Nhân viên,16/12/2024,CÔNG TY CỔ PHẦN HỒ TIÊU VIỆT,"Số 45 đường Gò Nổi, Phường Phú Hữu, Thành phố Thủ Đức, Thành phố Hồ Chí Minh, Việt Nam",Ms.Hoa,100-499,Cổ phần
NHÂN VIÊN KINH DOANH – PHỤ TRÁCH HỆ THỐNG SIÊU THỊ,['Hồ Chí Minh'],16/11/2024,"Tiếp thị / Marketing , Bán hàng / Kinh doanh , Dược phẩm",Nhân viên chính thức,Cạnh tranh,3 - 4 Năm,Nhân viên,15/12/2024,SHINPOONG DAEWOO PHARMA,"29 Ba Vì, Phường 4, Quận Tân Bình",Ms Diễm,100-499,100% vốn nước ngoài
Học việc Hành Chính Nhân Sự,['Hồ Chí Minh'],14/11/2024,"Hành chính / Thư ký , Nhân sự , Mới tốt nghiệp / Thực tập","Nhân viên chính thức, Thực tập",3 Tr - 3 Tr VND,,Sinh viên/ Thực tập sinh,13/12/2024,CÔNG TY TNHH YB SPA,"Số 16, Đường M, P.An Phú, Thành phố Thủ Đức, Thành phố Hồ Chí Minh, Việt Nam",HRM,100-499,Trách nhiệm hữu hạn
Nhân viên phục vụ,['Hồ Chí Minh'],14/11/2024,"Nhà hàng / Khách sạn , Giải trí , Ngành khác","Nhân viên chính thức, Bán thời gian",Cạnh tranh,,Nhân viên,13/12/2024,CÔNG TY TNHH DỊCH VỤ TL,"32 Mạc Đĩnh Chi và 106A Nguyễn Đình Chiểu, Phường Đa Kao, Quận 1",HR Dept.,100-499,Trách nhiệm hữu hạn
Trưởng nhóm Marketing Online (Arena Multimedia),['Hồ Chí Minh'],11/11/2024,"Tiếp thị / Marketing , Quản lý điều hành , Quảng cáo / Đối ngoại / Truyền Thông",Nhân viên chính thức,Cạnh tranh,3 - 5 Năm,Trưởng nhóm / Giám sát,10/12/2024,HỆ THỐNG ĐÀO TẠO LẬP TRÌNH VIÊN QUỐC TẾ APTECH,"Tầng 4, 285 Đội Cấn, Ba Đình, Hà Nội",Ms. Vân,100-499,Cổ phần
OPM Specialist (SHTP - District 9),['Hồ Chí Minh'],10/11/2024,Sản xuất / Vận hành sản xuất,Nhân viên chính thức,Cạnh tranh,2 - 8 Năm,Nhân viên,09/12/2024,TECHTRONIC INDUSTRIES VIETNAM MANUFACTURING COMPANY LIMITED,"Cần đổi thành 9A VSIP II-A Street 27, Vietnam - Singapore Industrial Park II-A, Vinh Tan Ward, Tan Uyen City, Binh Duong Province, Vietnam",HR Dept.,10.000-19.999,100% vốn nước ngoài
Digital Artist,['Hồ Chí Minh'],11/11/2024,"Tiếp thị / Marketing , Mỹ thuật / Nghệ thuật / Thiết kế",Nhân viên chính thức,10 Tr - 15 Tr VND,2 - 3 Năm,Nhân viên,10/12/2024,D1 CONCEPTS CORPORATION,D1 Concepts Building - 01 Ly Van Phuc Dist 1 Ho Chi Minh City,Phòng Nhân Sự,,Liên doanh
Quản Lý Sản Xuất (bê tông tươi),['Hồ Chí Minh'],08/11/2024,"Quản lý điều hành , Sản xuất / Vận hành sản xuất , Xây dựng",Nhân viên chính thức,Cạnh tranh,3 - 5 Năm,Quản lý,07/12/2024,"VIET HAN CONCRETE JSC.,","24-26 đường số 8B,phường An Phú,Quận 2,Tphcm.",Viet Han Concrete,100-499,Cổ phần
Nhân Viên Thiết Kế 2D,['Hồ Chí Minh'],07/11/2024,"Kiến trúc , Nội ngoại thất , Xây dựng",Nhân viên chính thức,Cạnh tranh,Trên 2 Năm,Nhân viên,06/12/2024,CÔNG TY TNHH MỘT THÀNH VIÊN XÂY DỰNG NỘI THẤT UY TÍN,"17 đường 73, Phường Tân Phong, Quận 7, TPHCM",HRM,25-99,Trách nhiệm hữu hạn
Technical Sales Engineer,['Hồ Chí Minh'],07/11/2024,"Tiếp thị / Marketing , Hóa học , Xây dựng",Nhân viên chính thức,20 Tr - 25 Tr VND,3 - 4 Năm,Nhân viên,06/12/2024,CÔNG TY TNHH CHĂM SÓC NHÀ QUỐC TẾ,"352/24A Nguyễn Đình Chiểu, Phường 04, Quận 3, Thành phố Hồ Chí Minh, Việt Nam",Trương Quốc Cường,25-99,Trách nhiệm hữu hạn
Chuyên viên khai thác vận hành (LEASING),['Hồ Chí Minh'],07/11/2024,"Bất động sản , Bán hàng / Kinh doanh , Xây dựng",Nhân viên chính thức,Cạnh tranh,Trên 3 Năm,Nhân viên,06/12/2024,,,,,
Chuyên gia/Trưởng nhóm phát triển sản phẩm và Kinh doanh Tài chính số,['Hồ Chí Minh'],03/12/2024,"Ngân hàng , Tài chính / Đầu tư , CNTT - Phần mềm",Nhân viên chính thức,Cạnh tranh,5 - 8 Năm,Nhân viên,01/01/2025,NGÂN HÀNG TMCP TIÊN PHONG (TPBANK),"Tầng 10, Tòa nhà TPBank, 57 Lý Thường Kiệt, Hoàn Kiếm, HN",Phòng Nhân Sự,,Cổ phần
"Sales Leader B2B, Thu Nhập 20 - 80tr, Nghỉ T7 & CN",['Hồ Chí Minh'],04/12/2024,"Tiếp thị / Marketing , Bán lẻ / Bán sỉ , Bán hàng / Kinh doanh",Nhân viên chính thức,20 Tr - 80 Tr VND,1 - 2 Năm,Trưởng nhóm / Giám sát,02/01/2025,CÔNG TY TNHH CNV HOLDINGS,"42/2 Nguyễn Văn Trỗi, phường 15, quận Phú Nhuận",Ms. Huyền,100-499,Trách nhiệm hữu hạn
Trưởng nhóm Bán hàng Qua điện thoại/ Teamlead telesale - RB - MSB - 3E182,['Hồ Chí Minh'],04/12/2024,"Bán hàng / Kinh doanh , Ngân hàng , Tài chính / Đầu tư",Nhân viên chính thức,Cạnh tranh,Trên 5 Năm,Trưởng nhóm / Giám sát,02/01/2025,NGÂN HÀNG THƯƠNG MẠI CỔ PHẦN HÀNG HẢI VIỆT NAM (MSB),"Tầng 26, ROX Tower, 54A Nguyễn Chí Thanh, Đống Đa, Hà Nội",Bộ phận Tuyển dụng MSB,5.000-9.999,Cổ phần
Nhân viên kinh doanh Y tế,['Hồ Chí Minh'],01/12/2024,"Bán hàng / Kinh doanh , Y tế / Chăm sóc sức khỏe",Nhân viên chính thức,10 Tr - 15 Tr VND,Trên 1 Năm,Nhân viên,30/12/2024,CÔNG TY CỔ PHẦN TẬP ĐOÀN Y DƯỢC VIETLIFE,"Dự án bệnh viện đa khoa Thanh Xuân , ngách 228, ngõ 192 Lê Trọng Tấn, Thanh Xuân, Hà Nội",Phòng Nhân sự,100-499,Cổ phần
Nhân viên Sales Logistics,['Hồ Chí Minh'],02/12/2024,Vận chuyển / Giao nhận / Kho vận,Nhân viên chính thức,Cạnh tranh,1 - 3 Năm,Nhân viên,31/12/2024,HR VIETNAM’S ESS CLIENT,"Pasteur Tower, 139 Pasteur street, Dist. 3",Admin,,100% vốn nước ngoài
[CVK] Admission cum ASO,['Hồ Chí Minh'],30/11/2024,"Tư vấn , Giáo dục / Đào tạo",Nhân viên chính thức,Cạnh tranh,3 - 5 Năm,Nhân viên,29/12/2024,EQUEST EDUCATION GROUP (EQG),"Canadian International School, Number 7, Road 23, Phu My Hung, Tan Phu Ward, District 7, HCMC",People & Culture Division - Talent Acquisition Department,5.000-9.999,Cổ phần
Senior Business Intelligence Analyst,['Hồ Chí Minh'],30/11/2024,CNTT - Phần mềm,Nhân viên chính thức,Cạnh tranh,3 - 6 Năm,Nhân viên,29/12/2024,YES4ALL TRADING SERVICES COMPANY LIMITED,"Floor 2, L'Mak Tower, 127 Hong Ha, Phu Nhuan District, HCMC",Talent Acquisition Team,100-499,
Nhân viên Kỹ thuật (Sửa chữa bo mạch điện tử),['Hồ Chí Minh'],27/11/2024,"Điện / Điện tử / Điện lạnh , Bảo trì / Sửa chữa",Nhân viên chính thức,12 Tr - 15 Tr VND,1 - 2 Năm,Nhân viên,26/12/2024,CÔNG TY CỔ PHẦN CÔNG NGHIỆP WELDCOM,"Số 285A Ngô Gia Tự, Long Biên, Hà Nội",BP Tuyển dụng,500-999,Cổ phần
"Key Account Executive (Thủy sản, Bò)","['Đồng Nai', 'Hồ Chí Minh']",27/11/2024,"Bán hàng / Kinh doanh , Chăn nuôi / Thú y",Nhân viên chính thức,30 Tr - 50 Tr VND,3 - 8 Năm,Nhân viên,26/12/2024,CÔNG TY TNHH TALENTVIS VIỆT NAM,"Phòng số C-12A, Tầng 25, Tòa nhà Lim Tower, Số 9-11 Tôn Đức Thắng, Phường Bến Nghé, Quận 1, Thành phố Hồ Chí Minh",TALENTVIS VIỆT NAM,,100% vốn nước ngoài
Chuyên viên cao cấp Rủi ro tín dụng,['Hồ Chí Minh'],27/11/2024,"Kế toán / Kiểm toán , Ngân hàng , Tài chính / Đầu tư",Nhân viên chính thức,Cạnh tranh,Trên 3 Năm,Nhân viên,26/12/2024,CÔNG TY CỔ PHẦN KINH DOANH F88,"Phòng 206, tầng M, tòa nhà N01A, số 275 Nguyễn Trãi - Phường Thanh Xuân Trung - Quận Thanh Xuân - Hà Nội.",Phòng Nhân sự,500-999,Cổ phần
Chuyên Viên QC Thực Phẩm_ Khu vực Nhà Bè,['Hồ Chí Minh'],27/11/2024,Quản lý chất lượng (QA/QC),Nhân viên chính thức,12 Tr - 16 Tr VND,2 - 3 Năm,Nhân viên,26/12/2024,CÔNG TY CỔ PHẦN CÔNG NGHỆ SEN ĐỎ,"Tầng 2, Tòa nhà FPT Tân Thuận. 29B-31B-33B đường Tân Thuận, KCX Tân Thuận",Tuyển dụng Sen Đỏ,,Cổ phần
Chuyên viên Kiểm Soát Chất lượng - Ngành Nhôm Kính,"['Bình Dương', 'Hồ Chí Minh', 'Đồng Nai']",28/11/2024,"Sản xuất / Vận hành sản xuất , Quản lý chất lượng (QA/QC) , Nội ngoại thất",Nhân viên chính thức,Cạnh tranh,Trên 2 Năm,Trưởng nhóm / Giám sát,27/12/2024,CÔNG TY TRÁCH NHIỆM HỮU HẠN SẢN XUẤT THƯƠNG MẠI XÂY DỰNG CƠ KHÍ VIỆT MINH LONG,"68/69/9/16 Đường TA32, Khu Phố 5, Phường Thới An, Quận 12, Thành phố Hồ Chí Minh, Việt Nam",HR team,100-499,Trách nhiệm hữu hạn
Kĩ thuật viên lắp đặt,['Hồ Chí Minh'],28/11/2024,"Cơ khí / Ô tô / Tự động hóa , Điện / Điện tử / Điện lạnh , Bảo trì / Sửa chữa",Nhân viên chính thức,Cạnh tranh,Trên 1 Năm,Nhân viên,27/12/2024,CÔNG TY TNHH CARTRACK VIETNAM,"Tầng 6, TF Building, 408 Điện Biên Phủ, Phường 11, Quận 10, TP Hồ Chí Minh, TP Hồ Chí Minh",Mr. Vinh,1.000-4.999,100% vốn nước ngoài
Nhân viên bán hàng - Vật liệu xây dựng,['Hồ Chí Minh'],03/12/2024,"Bán lẻ / Bán sỉ , Bán hàng / Kinh doanh , Tiếp thị trực tuyến",Nhân viên chính thức,8 Tr - 13 Tr VND,1 - 2 Năm,Nhân viên,01/01/2025,CÔNG TY CỔ PHẦN ĐẦU TƯ F&B QUỲNH CHI,"Văn phòng tại Tầng 2-3, 99 Lê Văn Việt, Tăng Nhơn Phú A, Thủ Đức, Thành phố Hồ Chí Minh",HR TEAM,100-499,Cổ phần
KẾ TOÁN TỔNG HỢP - FMCG,['Hồ Chí Minh'],26/11/2024,"Kế toán / Kiểm toán , Tài chính / Đầu tư",Nhân viên chính thức,Cạnh tranh,Trên 2 Năm,Trưởng nhóm / Giám sát,25/12/2024,CÔNG TY CỔ PHẦN PHÚC SINH,"238-240 Võ Văn Kiệt, P. Cầu Ông Lãnh, Q.1",Ms. Bích,,Cổ phần
Nhân Viên Kinh Doanh Bất Động Sản,"['Hồ Chí Minh', 'Đà Nẵng', 'Hà Nội']",24/11/2024,"Bán hàng / Kinh doanh , Bất động sản",Nhân viên chính thức,10 Tr - 20 Tr VND,,Nhân viên,23/12/2024,CÔNG TY CỔ PHẦN ĐỊA ỐC MAI VIỆT,"Tầng 11 Tháp C, số 219 Trung Kính - Phường Yên Hòa - Quận Cầu Giấy - Hà Nội",MS Huyền,500-999,Cổ phần
Nhân Viên Lái Xe - Làm Việc Tại Quận Bình Tân,['Hồ Chí Minh'],24/11/2024,"Vận chuyển / Giao nhận / Kho vận , Ngành khác",Nhân viên chính thức,9 Tr - 11 Tr VND,2 - 3 Năm,Nhân viên,23/12/2024,CÔNG TY CỔ PHẦN GẠCH MEN Ý MỸ,"KCN Tam Phước, QL 51, Tam Phước, Biên Hòa",Phòng HCNS,1000,Cổ phần
Senior UI UX,['Hồ Chí Minh'],24/11/2024,"CNTT - Phần mềm , CNTT - Phần cứng / Mạng , Mỹ thuật / Nghệ thuật / Thiết kế",Nhân viên chính thức,Cạnh tranh,3 - 5 Năm,Nhân viên,23/12/2024,CÔNG TY TNHH CÔNG NGHỆ THỂ THAO OOKK,"Tầng 5, Tòa nhà Victory Tower, Số 12 Tân Trào, Phường Tân Phú, Quận 7, Thành phố Hồ Chí Minh, Việt Nam",HR,10-20,Trách nhiệm hữu hạn
QC LEADER (PRINTING GARMENTS),['Hồ Chí Minh'],24/11/2024,"Dệt may / Da giày / Thời trang , Quản lý chất lượng (QA/QC)",Nhân viên chính thức,Cạnh tranh,1 - 3 Năm,Trưởng nhóm / Giám sát,23/12/2024,"UN-AVAILABLE LTD CO.,","Một phần lô I/3 Đường Số 7, Phường Bình Hưng Hòa, Quận Bình Tân",Ms. Lê Tư,500-999,100% vốn nước ngoài
Nhân viên Vận hành máy (KHÔNG CẦN KINH NGHIỆM),['Hồ Chí Minh'],21/11/2024,"Cơ khí / Ô tô / Tự động hóa , Sản xuất / Vận hành sản xuất",Nhân viên chính thức,7 Tr - 9 Tr VND,,Nhân viên,20/12/2024,CÔNG TY TNHH MTV KỸ THUẬT TÚ LỘC,"354 Quốc Lộ 1A, P. Bình Hưng Hòa B, Q. Bình Tân, Tp. Hồ Chí Minh",Ms. Phượng,25-99,Cá nhân
QUẢN ĐỐC NHÀ MÁY MỸ PHẨM,['Hồ Chí Minh'],19/11/2024,"Tiếp thị / Marketing , Bán hàng / Kinh doanh , Mỹ thuật / Nghệ thuật / Thiết kế",Nhân viên chính thức,11 Tr - 15 Tr VND,2 - 3 Năm,Quản lý,18/12/2024,CÔNG TY CỔ PHẦN GOTIME HOLDINGS,"223/8-233/10 Đặng Thùy Trâm, Phường 13, Quận Bình Thạnh, TP.HCM",Phòng HCNS,100-499,Cổ phần
Chuyên Viên Điều Vận Kiêm Giao Hàng,['Hồ Chí Minh'],20/11/2024,"Bán lẻ / Bán sỉ , Vận chuyển / Giao nhận / Kho vận",Nhân viên chính thức,12 Tr - 14 Tr VND,Trên 1 Năm,Nhân viên,19/12/2024,CÔNG TY CỔ PHẦN THƯƠNG MẠI DỊCH VỤ SẢN XUẤT THÁI BÌNH DƯƠNG,331/7/20 Phan Huy ích - Phường 14 - Quận Gò Vấp - TP Hồ Chí Minh,Chị Hương,25-99,Cổ phần
Chuyên Viên Tiếp Thị Trực Tiếp (Direct Marketing),['Hồ Chí Minh'],20/11/2024,"Tiếp thị / Marketing , Bán hàng / Kinh doanh , Giáo dục / Đào tạo",Nhân viên chính thức,10 Tr - 15 Tr VND,Trên 1 Năm,Nhân viên,19/12/2024,CÔNG TY TNHH ELE EDUCATION,"Trụ sở chính: Phòng 805, Tầng 08, Cao Ốc Daiminh Convention, 77 Hoàng Văn Thái, Phường Tân Phú, Quận 7, TP. Hồ Chí Minh",Phòng Nhân sự,25-99,Trách nhiệm hữu hạn
Trưởng Nhóm Kinh Doanh Làm Việc Trực Tiếp Tại Văn Phòng (Lương Cứng Tối Thiểu 12 Triệu),['Hồ Chí Minh'],18/11/2024,"Quản lý điều hành , Bán lẻ / Bán sỉ , Tài chính / Đầu tư",Nhân viên chính thức,12 Tr - 20 Tr VND,,Trưởng nhóm / Giám sát,17/12/2024,,,,,
Nhân Viên Kinh Doanh Làm Việc Trực Tiếp Tại Văn Phòng (Thu Nhập Tối Thiểu 13 Triệu),['Hồ Chí Minh'],18/11/2024,"Bán lẻ / Bán sỉ , Tài chính / Đầu tư , Bán hàng / Kinh doanh",Nhân viên chính thức,10 Tr - 30 Tr VND,,Nhân viên,17/12/2024,,,,,
Nhân Viên Telesale,['Hồ Chí Minh'],16/11/2024,"Tiếp thị / Marketing , Y tế / Chăm sóc sức khỏe",Nhân viên chính thức,8 Tr - 10 Tr VND,1 - 3 Năm,Nhân viên,15/12/2024,CÔNG TY CỔ PHẦN Y KHOA LOUKAS,"269 Điện Biên Phủ, Phường Võ Thị Sáu, Quận 3, TP Hồ Chí Minh",Hr Loukas,25-99,Cổ phần
Nhân Viên bán thẻ kì nghỉ Hồ Chí Minh THCM,['Hồ Chí Minh'],17/11/2024,"Tiếp thị / Marketing , Nhà hàng / Khách sạn , Du lịch",Nhân viên chính thức,14 Tr - 17 Tr VND,,Nhân viên,16/12/2024,CÔNG TY CỔ PHẦN GREEN TRAVEL VIỆT NAM,"Số 27, Đường Trần Duy Hưng, Phường Trung Hoà, Quận Cầu Giấy, Thành phố Hà Nội, Việt Nam",HR,,Cổ phần
Chuyên Viên Kinh Doanh – Nội Thất,['Hồ Chí Minh'],17/11/2024,"Bán lẻ / Bán sỉ , Bán hàng / Kinh doanh , Nội ngoại thất",Nhân viên chính thức,Cạnh tranh,Trên 1 Năm,Nhân viên,16/12/2024,CÔNG TY TNHH NIPPON INTERIA,"38 Nguyễn Cơ Thạch, Phường An Lợi Đông, TP Thủ Đức",Mr Linh,25-99,
Kế toán thuế,['Hồ Chí Minh'],13/11/2024,Kế toán / Kiểm toán,Nhân viên chính thức,9 Tr - 13 Tr VND,Trên 1 Năm,Nhân viên,12/12/2024,CÔNG TY TNHH TƯ VẤN THIÊN LUẬT PHÁT,"Tầng 4, Số 65 Vườn Lài, Phường Phú Thọ Hòa, Quận Tân Phú, TP. Hồ Chí Minh",Nguyễn Tấn Phúc,10-20,Trách nhiệm hữu hạn
SEO Content Leader,['Hồ Chí Minh'],16/11/2024,"Tiếp thị / Marketing , Tiếp thị trực tuyến",Nhân viên chính thức,Cạnh tranh,3 - 5 Năm,Nhân viên,15/12/2024,YES4ALL TRADING SERVICES COMPANY LIMITED,"Floor 2, L'Mak Tower, 127 Hong Ha, Phu Nhuan District, HCMC",Talent Acquisition Team,100-499,
[Phú Quốc] Store Manager - Cửa hàng trưởng,"['Khác', 'Hồ Chí Minh']",12/11/2024,"Bán lẻ / Bán sỉ , Thực phẩm & Đồ uống , Nhà hàng / Khách sạn",Nhân viên chính thức,Cạnh tranh,2 - 3 Năm,Quản lý,11/12/2024,STARBUCKS VIETNAM,"Phuong Long 2 building, 16 Nguyen Truong To St, Ward 13, District 4, Hochiminh city, Vietnam",Talent Acquisition Team,1.000-4.999,100% vốn nước ngoài
